DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Diastolic blood pressure	rs3790605	38116116	cg07005055_BC11	12
Body fat percentage (adjusted for testosterone and SHBG)	rs549061953	37867527	cg07010552_BC11	25
Body fat percentage (adjusted for testosterone and SHBG)	rs549061953	37867527	cg07010552_BC11	25
Type 2 diabetes	rs5213	30297969	cg03864215_BC11	33
Medication use (drugs used in diabetes)	rs5213	31015401	cg03864215_BC11	33
Serum metabolite levels	rs61797339	33031748	cg18395777_BC11	8
Serum metabolite levels	rs61797339	33031748	cg18395777_BC11	8
Carnitine C10 levels	rs61797339	35995766	cg18395777_BC11	8
Carnitine C6 levels	rs61797339	35995766	cg18395777_BC11	8
Carnitine C8 levels	rs61797339	35995766	cg18395777_BC11	8
Metabolite peak levels (QI3783)	rs61797339	35995766	cg18395777_BC11	8
X-23293 levels	rs61797339	36357675	cg18395777_BC11	8
X-21607 levels	rs61797339	36357675	cg18395777_BC11	8
Post bronchodilator FEV1/FVC ratio in COPD	rs17483548	26634245	cg22967516_TC11	26
Post bronchodilator FEV1	rs17483548	26634245	cg22967516_TC11	26
Post bronchodilator FEV1/FVC ratio	rs17483548	26634245	cg22967516_TC11	26
Lung function (FEV1)	rs61585154	36914875	cg10308785_TC11	7
Femur bone mineral density x serum urate levels interaction	rs112424975	34046847	cg12597389_TC11	52
Waist-to-hip ratio adjusted for BMI	rs61384251	31669095	cg03308399_TC11	35
Complement C4b levels	rs2071295	36168886	cg14669361_TC11	47
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1737006	38368726	cg13688808_TC11	47
Blood protein levels	rs3093664	30072576	cg17741993_BC11	52
Blood protein levels	rs3093664	30072576	cg17741993_BC11	52
Blood protein levels	rs3093664	30072576	cg17741993_BC11	52
Blood protein levels	rs3093664	30072576	cg17741993_BC11	52
Blood protein levels	rs3093664	30072576	cg17741993_BC11	52
Serum levels of protein MICB	rs3093664	35078996	cg17741993_BC11	52
Type 1 diabetes (age at diagnosis)	rs3093664	33179336	cg17741993_BC11	52
Rheumatoid arthritis or irritable bowel disease	rs3093664	37377963	cg17741993_BC11	52
Height	rs2598426	36224396	cg22967713_BC11	46
Atypical femoral fracture in phosphonate treatment	rs2727797	31006051	cg10887952_BC11	10
Calcium levels	rs928760	33887147	cg25811037_BC11	34
Calcium levels	rs928760	34594039	cg25811037_BC11	34
Post bronchodilator FEV1	rs2999083	26634245	cg05488047_TC11	47
Post bronchodilator FEV1/FVC ratio	rs2999083	26634245	cg05488047_TC11	47
Atrial fibrillation	rs2595104	29892015	cg06953602_BC11	43
Strep throat	rs7851660	28928442	cg13999036_BC11	4
Alanine aminotransferase levels	rs1873914	34594039	cg17664812_BC11	38
Gastroesophageal reflux disease, peptic ulcer disease and/or corresponding medications and treatment	rs1873914	33608531	cg17664812_BC11	38
Gastroesophageal reflux disease or anorexia nervosa (pleiotropy)	rs1873914	36753304	cg17664812_BC11	38
Waist-to-hip ratio adjusted for BMI	rs141385558	31669095	cg22387779_BC11	3
Total cholesterol levels	rs17121833	34887591	cg00846657_BC11	40
mRNA-decapping enzyme 1A levels	rs4458293	34648354	cg25980723_BC11	44
Type 2 diabetes nephropathy	rs895157	30566433	cg10198439_BC11	34
Type 2 diabetes nephropathy including microalbuminuria	rs895157	30566433	cg10198439_BC11	34
White blood cell count	rs10883360	32888493	cg15459670_TC11	33
Gamma glutamyl transferase levels	rs78365374	33462484	cg26131204_TC11	10
Height	rs12121447	36224396	cg01272497_BC11	21
Multiple sclerosis	rs34286592	27386562	cg21355562_TO11	16
Mean platelet volume	rs34286592	32888493	cg21355562_TO11	16
Mean platelet volume	rs34286592	32888494	cg21355562_TO11	16
Mitochondrial DNA copy number (raw)	rs200888	37587338	cg24882439_TC11	32
Systolic blood pressure	rs7675258	30595370	cg06722111_TC11	26
Diastolic blood pressure	rs7675258	38689001	cg06722111_TC11	26
Triglyceride to HDL cholesterol ratio	rs7675258	38200128	cg06722111_TC11	26
Triglyceride to HDL cholesterol ratio	rs7675258	38200128	cg06722111_TC11	26
Systolic blood pressure	rs7675258	38689001	cg06722111_TC11	26
Pulse pressure	rs7675258	38689001	cg06722111_TC11	26
Estimated glomerular filtration rate	rs7675258	37919891	cg06722111_TC11	26
Height	rs9909247	30595370	cg22992340_BC11	6
CX3CR1 on CD14- CD16+ monocyte	rs41314914	32929287	cg25377296_TC11	1
Arylsulfatase A levels	rs78789402	36168886	cg26564681_TC11	1
Serum levels of protein CBR3	rs12483755	35078996	cg25827082_BC11	50
Cerebellum cortex volume change rate x age interaction (2df)	rs6586303	35383335	cg25904940_TC11	37
Cerebellum cortex volume change rate x age interaction (1df)	rs6586303	35383335	cg25904940_TC11	37
Phosphate-regulating neutral endopeptidase levels	rs5951683	34648354	cg26795755_TC11	1
Proline levels	rs9604915	36635386	cg26049730_TC11	1
Metabolite levels (proline)	rs9604915	37253714	cg26049730_TC11	1
Obesity-related traits	rs2071748	23251661	cg26273435_TC11	1
Cervical cancer	rs2844512	34594039	cg18892128_BC11	9
Hemoglobin A1c levels	rs138158369	34226706	cg01816775_BC11	44
Glycated hemoglobin levels	rs138158369	33462484	cg01816775_BC11	44
Lymphocyte count	rs9260155	32888494	cg09346800_TC12	39
C-peptide levels in type I diabetes	rs9260151	29404672	cg09346781_TO11	0
Mean platelet volume	rs76109311	32888493	cg14371731_BC11	29
Mean platelet volume	rs76109311	32888493	cg14371731_BC11	29
X-12411 levels	rs184530887	36635386	cg24115922_TC11	5
X-12411 levels	rs184530887	36635386	cg24115922_TC12	5
Monocyte percentage of white cells	rs9461780	32888494	cg09379487_BO12	9
Itch intensity from mosquito bite	rs9276434	28199695	cg09380323_BO12	36
Seropositivity for gallus gallus ovomucoid precursor gallus peptide (twist_30726)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity (peptide co-occurrence module 13: ABC transporters , ATP-binding proteins)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for human huntingtin peptide (twist_34234)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for streptococcus phage peptide (twist_76831)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for clostridiales peptide (agilent_68956)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for mycobacterium tuberculosis peptide (agilent_2469)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for mycobacterium tuberculosis peptide (twist_52112)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for aix galericulata (mandarin duck) peptide (twist_23200)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for staphylococcus aureus peptide (agilent_222322)	rs9276434	37164013	cg09380323_BO12	36
Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_3328)	rs6457715	37164013	cg09383248_BO12	14
Pneumonia	rs9256983	28928442	cg09346799_TC12	3
X-12411 levels	rs184530887	36635386	cg24115922_TC13	5
Sural nerve amplitude potential	rs73112142	30992453	cg24453580_BC11	7
Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_3328)	rs6457715	37164013	cg09383247_TC12	6
Cognitive performance	rs2072895	30038396	cg02035039_BC12	31
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1629068	38368726	cg03570577_BC12	33
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736984	38368726	cg09345299_BC12	2
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17185146	38368726	cg09345299_BC12	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1632996	38368726	cg09345331_BC12	17
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1610711	38368726	cg09345331_BC12	27
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736982	38368726	cg09345331_BC12	3
Dry eye disease	rs2734945	38767906	cg09346125_BC12	8
Restless legs syndrome	rs1059453	38839884	cg09346125_BC12	52
Restless legs syndrome	rs1059453	38839884	cg09346125_BC12	52
Restless legs syndrome	rs1059453	38839884	cg09346125_BC12	52
Rheumatoid arthritis	rs34480360	36333501	cg08405844_TC11	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_TC11	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_TC11	20
Rheumatoid arthritis	rs34480360	36333501	cg08405844_TC11	20
Systemic lupus erythematosus	rs116352702	33272962	cg09379452_BC12	46
Seropositivity for listeria phage 2389 peptide (twist_76871)	rs13211632	37164013	cg09379504_BC11	7
Hematocrit	rs9273039	27863252	cg09379568_BC12	52
Autism spectrum disorder or schizophrenia	rs9273177	28540026	cg09379572_BC12	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17206680	38368726	cg09364124_TC12	24
Eczema	rs41293883	31361310	cg14669139_TC11	31
Asthma (childhood onset)	rs145282902	31669095	cg01419383_BC11	9
Chronotype	rs6665637	30696823	cg10594585_TC11	26
Serum glutamic-oxaloacetic transaminase levels	rs9277356	36329257	cg20223237_TC11	41
Response to hepatitis B vaccine	rs9277356	31243853	cg20223237_TC11	41
Antineutrophil cytoplasmic antibody-associated vasculitis	rs141530233	28029757	cg20223237_TC11	46
Rheumatoid arthritis	rs34480360	36333501	cg08405844_TC12	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_TC12	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_TC12	20
Rheumatoid arthritis	rs34480360	36333501	cg08405844_TC12	20
Mouth ulcers	rs41546314	30837455	cg09346727_BC12	39
C-peptide levels in type I diabetes	rs9260151	29404672	cg09346781_BC12	0
Luteinizing hormone levels in healthy women	rs185780876	32185793	cg21622025_TC12	32
Ulcerative colitis	rs2239802	28008999	cg09377579_TC12	0
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205177	38368726	cg09379518_TC12	50
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205191	38368726	cg09379518_TC12	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17211545	38368726	cg09379519_TC12	9
Hematocrit	rs9273039	27863252	cg09379567_TC12	16
Mean platelet volume	rs76109311	32888493	cg14371731_BC12	29
Mean platelet volume	rs76109311	32888493	cg14371731_BC12	29
Mean platelet volume	rs76109311	32888493	cg14371731_BC13	29
Mean platelet volume	rs76109311	32888493	cg14371731_BC13	29
Mean platelet volume during first trimester of pregnancy	rs11557300	38064665	cg08923669_TC11	51
High-density lipoprotein levels (MTAG)	rs7195310	36376304	cg06213463_BC11	24
Cervical cancer	rs2844512	34594039	cg18892128_BC12	9
Creatinine levels	rs148330006	34226706	cg20293609_TC11	14
Appendicular lean mass	rs148330006	33097823	cg20293609_TC11	14
Appendicular lean mass	rs148330006	33097823	cg20293609_TC11	14
Appendicular lean mass	rs148330006	33097823	cg20293609_TC11	14
Triglyceride levels	rs14180	34887591	cg02288522_BC11	0
Mitochondrial DNA copy number	rs6792510	35023831	cg02145593_BC11	5
Schizophrenia	rs8067545	26198764	cg13482628_TC11	9
Presence of antiphospholipid antibodies	rs8178822	27098658	cg25390025_TC11	39
Smoking initiation	rs9416016	36477530	cg25082487_BC11	25
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1610719	38368726	cg14652056_BC11	11
Mean corpuscular hemoglobin	rs11724	34594039	cg21632158_BC11	37
Descending aorta strain	rs408067	37019578	cg04375931_BC11	5
Mean corpuscular volume	rs145364311	27863252	cg15826897_BC11	8
Mean corpuscular volume	rs145364311	32888494	cg15826897_BC11	8
Mean corpuscular hemoglobin	rs145364311	32888494	cg15826897_BC11	8
Mean spheric corpuscular volume	rs145364311	32888494	cg15826897_BC11	8
Free cholesterol to total lipids in very large VLDL percentage (UKB data field 23587)	rs881817	36764567	cg15230030_BC11	33
Free cholesterol to total lipids ratio in very large VLDL	rs881817	35213538	cg15230030_BC11	33
1-palmitoyl-2-oleoyl-GPC (16:0/18:1) levels in elite athletes	rs131715	31882771	cg23060735_BC11	3
Cervical cancer	rs2844512	34594039	cg18892128_BC13	9
Mean reticulocyte volume	rs1143146	32888494	cg05157171_BC11	53
Mouth ulcers	rs41546314	30837455	cg05157171_BC11	33
Urate levels	rs861536	31578528	cg04833878_TC11	46
Urate levels	rs861536	31578528	cg04833878_TC11	46
CD244/CRTAM protein level ratio	rs9263708	38412862	cg27594095_BC11	6
Pediatric steroid sensitive nephrotic syndrome	rs115180879	37120605	cg10111314_TC11	19
Obesity-related traits	rs2306658	23251661	cg12996119_BC11	13
Obesity-related traits	rs2306658	23251661	cg12996119_BC11	13
Monocyte percentage of white cells	rs9908756	32888494	cg05248652_BC11	18
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs3189152	38368726	cg05724777_TC11	21
Total testosterone levels	rs138983180	32042192	cg01044465_TC11	17
Total testosterone levels	rs138983180	32042192	cg01044465_TC11	17
MAM domain-containing glycosylphosphatidylinositol anchor protein 1 levels	rs116499511	34857772	cg00807871_TC11	3
Serum metabolite levels	rs3215400	33031748	cg00784581_BC11	2
Platelet count	rs3215400	34594039	cg00784581_BC11	2
Metabolite levels (2'-O-methylcytidine)	rs3215400	37253714	cg00784581_BC11	2
Total cholesterol levels (MTAG)	rs1610646	37669986	cg00757933_BC11	45
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1610646	38368726	cg00757933_BC11	45
Systolic blood pressure	rs6978222	39134668	cg10987350_TC11	43
Breast cancer	rs62112521	34018994	cg24723198_TC11	1
Platelet count	rs7349311	32888493	cg02960628_TC11	1
Red cell distribution width	rs7349311	32888493	cg02960628_TC11	1
Mean platelet volume	rs7349311	32888493	cg02960628_TC11	1
Mean platelet volume	rs7349311	32888494	cg02960628_TC11	1
Mean platelet volume	rs7349311	32888493	cg02960628_TC11	1
Platelet count	rs7349311	32888494	cg02960628_TC11	1
Platelet count	rs7349311	34594039	cg02960628_TC11	1
Birth weight	rs12906125	27680694	cg20799770_TC11	1
Myocardial infarction	rs12906125	33532862	cg20799770_TC11	1
Systolic blood pressure	rs12906125	34594039	cg20799770_TC11	1
Fasting plasma glucose	rs61896068	32902719	cg16408268_TC11	1
Osteoporosis	rs880610	34594039	cg16534697_BC11	12
Platelet count	rs1684032	34594039	cg20513754_BC11	18
A body shape index	rs2925999	34021172	cg21810731_BC11	23
Waist-to-hip ratio adjusted for BMI	rs2925999	34021172	cg21810731_BC11	23
Waist-hip index	rs2925999	34021172	cg21810731_BC11	23
Lymphocyte-to-monocyte ratio	rs11649461	34469753	cg21882994_BC11	36
Height	rs6842571	36224396	cg06747573_TC11	32
Cerebrospinal fluid sTREM-2 levels	rs188241457	31708768	cg00694360_BC11	31
Hair color	rs7965424	30595370	cg17682812_TC11	1
Systemic lupus erythematosus	rs1150757	27399966	cg02182656_TC11	1
Neuromyelitis optica	rs1150757	29769526	cg02182656_TC11	1
Neuromyelitis optica (AQP4-IgG-positive)	rs1150757	29769526	cg02182656_TC11	1
Systemic lupus erythematosus	rs1150757	26502338	cg02182656_TC11	1
Neuroticism	rs1150757	30643256	cg02182656_TC11	1
Positive affect	rs1150757	30643256	cg02182656_TC11	1
Depressive symptoms	rs1150757	30643256	cg02182656_TC11	1
Seropositivity for staphylococcus aureus peptide (twist_46764)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for streptococcus agalactiae peptide (agilent_234887)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for streptococcus pyogenes peptide (agilent_235068)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for staphylococcus aureus peptide (agilent_226247)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for streptococcus pneumoniae peptide (agilent_236127)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for streptococcus pyogenes peptide (agilent_220658)	rs1150757	37164013	cg02182656_TC11	1
Seropositivity for streptococcus pneumoniae peptide (agilent_241401)	rs1150757	37164013	cg02182656_TC11	1
Inguinal hernia	rs1150757	34382107	cg02182656_TC11	1
Protein quantitative trait loci (liver)	rs75286976	32778093	cg07138624_BC11	34
White blood cell count	rs11146021	32888494	cg14470696_TC11	1
Cortical thickness	rs11146021	34560273	cg14470696_TC11	1
Cortical surface area	rs11146021	34560273	cg14470696_TC11	1
Vertex-wise cortical surface area	rs11146021	34910505	cg14470696_TC11	1
Total brain volume change rate x age interaction (1df)	rs1670340	35383335	cg12024008_TC11	12
Systolic blood pressure	rs7822515	30595370	cg12039309_TC11	1
Diastolic blood pressure	rs7822515	38689001	cg12039309_TC11	1
Systolic blood pressure	rs7822515	38689001	cg12039309_TC11	1
Hemoglobin concentration	rs1678960	35964923	cg18229359_TC11	12
Fasting blood glucose	rs61944004	33842983	cg18546873_TC11	1
Baseline memory in impaired cognition	rs116104706	37984853	cg07297096_BC11	48
Small vessel stroke	rs1046040	34031191	cg23864353_BC11	16
Severe COVID-19 infection	rs12975656	36662838	cg23893599_TC11	1
Monocyte count	rs34728133	32888494	cg23936924_TC11	1
Monocyte percentage of white cells	rs34728133	32888494	cg23936924_TC11	1
Lymphocyte-to-monocyte ratio	rs34728133	34469753	cg23936924_TC11	1
Periodontitis (CDC/AAP)	rs11673509	24024966	cg23992259_BC11	0
Immature fraction of reticulocytes	rs2571445	27863252	cg04141229_BC11	47
High light scatter reticulocyte count	rs2571445	27863252	cg04141229_BC11	47
High light scatter reticulocyte percentage of red cells	rs2571445	27863252	cg04141229_BC11	47
Lung function (FEV1)	rs2571445	28166213	cg04141229_BC11	47
Lung function (FVC)	rs2571445	28166213	cg04141229_BC11	47
Lung function (FEV1/FVC)	rs2571445	28166213	cg04141229_BC11	47
Systolic blood pressure	rs2571445	30578418	cg04141229_BC11	47
Lung function (low FEV1 vs high FEV1)	rs2571445	26423011	cg04141229_BC11	47
Systolic blood pressure	rs2571445	30595370	cg04141229_BC11	47
Lung function (FEV1/FVC)	rs2571445	30595370	cg04141229_BC11	47
Lung function (FEV1/FVC)	rs2571445	30804560	cg04141229_BC11	47
Chronic obstructive pulmonary disease	rs2571445	30804561	cg04141229_BC11	47
Lung function (FVC)	rs2571445	30804560	cg04141229_BC11	47
FEV1	rs2571445	30804560	cg04141229_BC11	47
Coronary artery disease	rs2571445	29212778	cg04141229_BC11	47
Coronary artery disease	rs2571445	29212778	cg04141229_BC11	47
Immature fraction of reticulocytes	rs2571445	32888494	cg04141229_BC11	47
Brain morphology (MOSTest)	rs2571445	32665545	cg04141229_BC11	47
Pulmonary function	rs2571445	20010834	cg04141229_BC11	47
Pulmonary function (smoking interaction)	rs2571445	23284291	cg04141229_BC11	47
High light scatter reticulocyte count	rs2571445	32888494	cg04141229_BC11	47
High light scatter reticulocyte percentage of red cells	rs2571445	32888494	cg04141229_BC11	47
Intraocular pressure	rs2571445	29617998	cg04141229_BC11	47
Chronic obstructive pulmonary disease x current smoker interaction (main effect)	rs2571445	33106845	cg04141229_BC11	47
Chronic obstructive pulmonary disease in non-current smokers	rs2571445	33106845	cg04141229_BC11	47
Chronic obstructive pulmonary disease x current smoker interaction (2df)	rs2571445	33106845	cg04141229_BC11	47
Cortical surface area	rs2571445	34560273	cg04141229_BC11	47
Brain morphology (MOSTest)	rs2571445	35164939	cg04141229_BC11	47
Chronic obstructive pulmonary disease liability (machine learning-based score)	rs2571445	37069358	cg04141229_BC11	47
Primary open angle glaucoma (multi-trait analysis)	rs2571445	37386247	cg04141229_BC11	47
Chronic obstructive pulmonary disease	rs2571445	33909500	cg04141229_BC11	47
Systolic blood pressure	rs2571445	35762941	cg04141229_BC11	47
Coronary artery disease	rs2571445	36474045	cg04141229_BC11	47
Vertex-wise cortical surface area	rs2571445	34910505	cg04141229_BC11	47
Systolic blood pressure	rs2571445	34594039	cg04141229_BC11	47
High fluorescent percentage of reticulocytes	rs2571445	37596262	cg04141229_BC11	47
Lung function (FEV1)	rs2571445	36914875	cg04141229_BC11	47
Blood protein levels	rs1800470	30072576	cg24546721_BC11	40
Blood protein levels	rs1800470	30072576	cg24546721_BC11	40
Blood protein levels	rs1800470	30072576	cg24546721_BC11	40
Migraine and/or pulse pressure	rs1800470	32632093	cg24546721_BC11	40
Pulse pressure	rs1800470	38689001	cg24546721_BC11	40
Coronary artery disease	rs1800470	35915156	cg24546721_BC11	40
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels in current drinkers	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels in current drinkers	rs367070	30698716	cg24782875_TC11	37
HDL cholesterol levels	rs367070	32203549	cg24782875_TC11	37
Apolipoprotein A1 levels	rs367070	32203549	cg24782875_TC11	37
Serum levels of protein DEFB119	rs367070	35078996	cg24782875_TC11	37
High-density lipoprotein levels (MTAG)	rs367070	36376304	cg24782875_TC11	37
Free cholesterol to total lipids ratio in IDL	rs367070	35213538	cg24782875_TC11	37
Triglyceride to HDL cholesterol ratio	rs367070	38200128	cg24782875_TC11	37
Triglyceride to HDL cholesterol ratio	rs367070	38200128	cg24782875_TC11	37
Triglyceride to HDL cholesterol ratio	rs367070	38200128	cg24782875_TC11	37
Leukocyte immunoglobulin-like receptor subfamily A member 3 levels	rs367070	34648354	cg24782875_TC11	37
