DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
MAX/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
MAP2K6/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
CASP10/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
PRTFDC1/TDRKH protein level ratio	rs143356584	38412862	cg04180868_BC11	40
PRTFDC1/TST protein level ratio	rs143356584	38412862	cg04180868_BC11	40
Hemoglobin concentration	rs72819315	35964923	cg04360875_TC11	49
Type 2 diabetes	rs6815464	28869590	cg07110949_TC11	23
Type 2 diabetes	rs6815464	23945395	cg07110949_TC11	23
Type 2 diabetes	rs6815464	22158537	cg07110949_TC11	23
Thyroid stimulating hormone levels	rs145153320	32769997	cg12554051_BC11	41
Serum alkaline phosphatase levels	rs145153320	34226706	cg12554051_BC11	41
Hip index	rs10991417	34021172	cg14170545_BC11	46
Hip circumference adjusted for BMI	rs10991417	34021172	cg14170545_BC11	46
Height	rs737380	39134668	cg10682155_TC11	5
Height	rs737380	36224396	cg10682155_TC11	5
Epithelial ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
Invasive epithelial ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
Low-grade serous and serous borderline ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
Mucinous ovarian carcinoma	rs6755777	28346442	cg13092806_BC11	29
Serous invasive ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
Serous borderline ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
High-grade serous ovarian cancer	rs6755777	28346442	cg13092806_BC11	29
Alanine levels	rs2306386	33414548	cg15857475_TC11	34
Heel bone mineral density	rs139053146	30595370	cg15866213_TC11	45
Serum total protein levels	rs7991332	34594039	cg01956420_TC11	49
Small ubiquitin-related modifier 2 levels	rs7282882	34648354	cg21053323_BC11	24
Intracranial aneurysm	rs3744644	30823506	cg05026840_TC11	28
Scavenger receptor class F member 1 levels	rs3744644	36168886	cg05026840_TC11	28
Mean arterial pressure	rs3025380	27618448	cg07824742_TC11	28
Systolic blood pressure	rs3025380	34226706	cg07824742_TC11	28
Diastolic blood pressure	rs3025380	34226706	cg07824742_TC11	28
Systolic blood pressure	rs3025380	34594039	cg07824742_TC11	28
Diastolic blood pressure	rs3025380	39134668	cg07824742_TC11	28
Systolic blood pressure	rs3025380	39134668	cg07824742_TC11	28
Height	rs3934817	36224396	cg20802051_TC11	40
Tea consumption	rs12127737	31046077	cg12908607_BC11	43
Hypothyroidism	rs2473808	30595370	cg15311933_TC11	14
Medication use (thyroid preparations)	rs2473808	31015401	cg15311933_TC11	14
Medication use (thyroid preparations)	rs2473808	34594039	cg15311933_TC11	14
Body size at age 10	rs2767486	32376654	cg08234308_TC11	27
